Namespace,Type,CyclomaticComplexity,DepthOfInheritance,ClassCoupling,LinesOfCode,NumberOfMethods,Toxicity
System.Web.Razor.Text,TextBufferReader,0,1,0,0,0,1
System.Web.Http.Tracing,TraceRecord,0,0,0,0,1,1
Microsoft.Web.Mvc,UrlAttribute,0,1,0,0,0,1
System.Web.Http.ValueProviders,ValueProviderAttribute,0,1,0,0,0,1
System.Web.Mvc,ViewStartPage,0,1,0,0,0,1
System.Web.Mvc,ViewUserControl,0,1,0,0,0,1
System.Web.Helpers,WebGridDataSource,0,0,1,0,0,1
System.Web.WebPages,WebPage,0,1,0,0,0,1
System.Web.WebPages,WebPageContext,0,0,0,0,1,1
System.Web.WebPages.Razor,WebRazorHostFactory,0,0,1,0,0,1
System.Web.Razor.Parser.SyntaxTree,AcceptedCharacters,0,0,0,0,0,0
System.Web.Http,AcceptVerbsAttribute,0,0,0,0,0,0
System.Web.Mvc,ActionDescriptor,0,0,0,0,0,0
System.Web.Mvc.Async,ActionDescriptorCreator,0,0,0,0,0,0
System.Web.Http.Filters,ActionDescriptorFilterProvider,0,0,0,0,0,0
System.Web.Mvc,ActionDescriptorHelper,0,0,0,0,0,0
System.Web.Mvc,ActionDescriptorHelper.CreateDescriptorState,0,0,0,0,0,0
System.Web.Mvc,ActionExecutedContext,0,0,0,0,0,0
System.Web.Mvc,ActionExecutingContext,0,0,0,0,0,0
System.Web.Http.Filters,ActionFilterAttribute,0,0,0,0,0,0
System.Web.Http.Controllers,ActionFilterResult,0,0,0,0,0,0
System.Web.Http.Controllers,ActionFilterResult.ActionInvoker,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,ActionFilterTracer,0,0,0,0,0,0
Microsoft.Web.Mvc.Controls,ActionLink,0,0,0,0,0,0
Microsoft.Web.Mvc,ActionLinkAreaAttribute,0,0,0,0,0,0
System.Web.Mvc,ActionMethodDispatcher,0,0,0,0,0,0
System.Web.Mvc,ActionMethodDispatcher.ActionExecutor,0,0,0,0,0,0
System.Web.Mvc,ActionMethodDispatcher.VoidActionExecutor,0,0,0,0,0,0
System.Web.Mvc,ActionMethodDispatcherCache,0,0,0,0,0,0
System.Web.Mvc,ActionMethodSelector,0,0,0,0,0,0
System.Web.Mvc,ActionMethodSelectorAttribute,0,0,0,0,0,0
System.Web.Mvc,ActionMethodSelectorBase.StandardRouteActionMethodCache,0,0,0,0,0,0
System.Web.Http,ActionNameAttribute,0,0,0,0,0,0
System.Web.Mvc,ActionNameSelector,0,0,0,0,0,0
System.Web.Mvc,ActionNameSelectorAttribute,0,0,0,0,0,0
System.Web.Mvc,ActionResult,0,0,0,0,0,0
System.Web.Mvc,ActionSelector,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,ActionType,0,0,0,0,0,0
