Method,LOC,NP,v(G)
"org.jboss.as.clustering.controller.AddStepHandler.rollbackRuntime(OperationContext,ModelNode,Resource)",10,3,3
"org.jboss.as.clustering.controller.AddStepHandlerDescriptor.getExtraParameters()",n/a,0,n/a
"org.jboss.as.clustering.controller.AddStepHandlerDescriptor.getRequiredChildren()",n/a,0,n/a
"org.jboss.as.clustering.controller.AddStepHandlerDescriptor.getRequiredSingletonChildren()",n/a,0,n/a
"org.jboss.as.clustering.controller.AttributeMarshallers.AttributeMarshallers()",3,0,1
"org.jboss.as.clustering.controller.AttributeParsers.AttributeParsers()",3,0,1
"org.jboss.as.clustering.controller.BoottimeAddStepHandler.BoottimeAddStepHandler(AddStepHandlerDescriptor,ResourceServiceHandler)",5,2,1
"org.jboss.as.clustering.controller.BoottimeAddStepHandler.addRequiredChildren(OperationContext,Collection<PathElement>,BiPredicate<Resource, PathElement>)",5,3,2
"org.jboss.as.clustering.controller.BoottimeAddStepHandler.getDescriptor()",4,0,1
"org.jboss.as.clustering.controller.BoottimeAddStepHandler.performBoottime(OperationContext,ModelNode,Resource)",4,3,1
"org.jboss.as.clustering.controller.BoottimeAddStepHandler.populateModel(OperationContext,ModelNode,Resource)",10,3,2
"org.jboss.as.clustering.controller.BoottimeAddStepHandler.recordCapabilitiesAndRequirements(OperationContext,ModelNode,Resource)",10,3,2
"org.jboss.as.clustering.controller.BoottimeAddStepHandler.register(ManagementResourceRegistration)",14,1,3
"org.jboss.as.clustering.controller.BoottimeAddStepHandler.rollbackRuntime(OperationContext,ModelNode,Resource)",8,3,2
"org.jboss.as.clustering.controller.Capability.getRuntimeCapability(PathAddress)",8,1,1
"org.jboss.as.clustering.controller.CapabilityDependency.CapabilityDependency(OperationContext,Requirement,String,Class<T>)",3,4,1
"org.jboss.as.clustering.controller.CapabilityReference.CapabilityReference(Requirement,Capability)",9,2,1
"org.jboss.as.clustering.controller.CapabilityReference.addCapabilityRequirements(OperationContext,String,String...)",8,3,2
"org.jboss.as.clustering.controller.CapabilityReference.getBaseDependentName()",4,0,1
"org.jboss.as.clustering.controller.CapabilityReference.getBaseRequirementName()",4,0,1
"org.jboss.as.clustering.controller.CapabilityReference.isDynamicDependent()",4,0,1
"org.jboss.as.clustering.controller.CapabilityReference.removeCapabilityRequirements(OperationContext,String,String...)",8,3,2
"org.jboss.as.clustering.controller.CapabilityRegistration.CapabilityRegistration(Capability...)",3,1,1
"org.jboss.as.clustering.controller.CapabilityRegistration.CapabilityRegistration(Class<E>)",3,1,1
"org.jboss.as.clustering.controller.CapabilityRegistration.CapabilityRegistration(Collection<? extends Capability>)",3,1,1
"org.jboss.as.clustering.controller.CapabilityRegistration.register(ManagementResourceRegistration)",4,1,1
"org.jboss.as.clustering.controller.ChildResourceDefinition.ChildResourceDefinition(Parameters)",3,1,1
"org.jboss.as.clustering.controller.ChildResourceDefinition.ChildResourceDefinition(PathElement,ResourceDescriptionResolver)",3,2,1
"org.jboss.as.clustering.controller.Definable.getDefinition()",n/a,0,n/a
"org.jboss.as.clustering.controller.Described.getDescriptor()",n/a,0,n/a
"org.jboss.as.clustering.controller.Executable.execute(C)",n/a,1,n/a
"org.jboss.as.clustering.controller.ExecutionHandler.ExecutionHandler(Executor<C, E>,Collection<? extends E>,Function<E, String>)",10,3,1
"org.jboss.as.clustering.controller.ExecutionHandler.executeRuntimeStep(OperationContext,ModelNode)",14,2,3
"org.jboss.as.clustering.controller.Executor.execute(OperationContext,E)",n/a,2,n/a
"org.jboss.as.clustering.controller.MetricHandler.MetricHandler(MetricExecutor<C>,Class<M>)",3,2,1
"org.jboss.as.clustering.controller.MetricHandler.MetricHandler(MetricExecutor<C>,Collection<? extends Metric<C>>)",4,2,1
"org.jboss.as.clustering.controller.MetricHandler.MetricHandler(MetricExecutor<C>,Metric<C>[])",3,2,1
"org.jboss.as.clustering.controller.MetricHandler.register(ManagementResourceRegistration)",4,1,1
"org.jboss.as.clustering.controller.Model.getVersion()",n/a,0,n/a
